This is a sample of the data. The full data set is under NDA with HP and will be available to those who have signed the NDA.,,,,
,,,,
Product #,DESCRIPTIONS,UNPSC CODES,UNPSC Code Description,Comment
0,SET UP SHEET FOR CCX600 D,55101516,Operation or instruction manuals,
1000.004,"RES, 270 ohm, CF, 1/8 W, 5%",32121706,Resistor or capacito,
1000.005,"RES, 200 OHM, CF, 1/8 W, 5%",32121706,Resistor or capacito,
1000.06,"RES, 56K, CF, 1/8 W, 5%",32121706,Resistor or capacito,
1000.075,"RES, 100K, CF, 1/8 W, 5%",32121706,Resistor or capacito,
1010.005,"RES, 4.7 OHM, CF, 1/4 W, 5%",32121706,Resistor or capacito,
1010.01,"RES, 10 OHM, CF, 1/4 W, 5%",32121706,Resistor or capacito,
1010.025,"RES, 22 OHM, CF, 1/4 W, 5%",32121706,Resistor or capacito,
1010.043,"RES, 56 OHM, CF, 1/4 W, 5%",32121706,Resistor or capacito,
1010.055,"RES, 100 OHM, CF, 1/4 W, 5%",32121706,Resistor or capacito,
1010.06,"RES, 150 OHM, CF, 1/4 W, 5%",32121706,Resistor or capacito,
